epoch,train_loss,val_loss
1,0.04421041232999414,0.00047237334423698484
2,0.00016807457309914753,0.00010905895673204214
3,7.868570293067024e-05,6.649465940427035e-05
4,5.5428073974326256e-05,4.918234786600806e-05
5,4.6613050799351185e-05,4.2138491553487254e-05
6,3.9686584321316334e-05,3.7283958081388844e-05
7,3.475144063122571e-05,3.444450994720683e-05
8,3.128069927333854e-05,3.0996405112091455e-05
9,2.9045806993963198e-05,2.848649601219222e-05
10,2.6834938049432823e-05,2.6023107784567402e-05
11,2.5478711686446333e-05,2.547558047808707e-05
12,2.4497535268892533e-05,2.4816612785798498e-05
13,2.3525454758782873e-05,2.3525645810877905e-05
14,2.231744684104342e-05,2.2250058827921747e-05
15,2.1353175747208297e-05,2.099526893289294e-05
16,2.0958213892299683e-05,2.230934340332169e-05
17,2.0320415365858935e-05,2.1424525912152603e-05
18,1.8869942519813774e-05,1.848709500336554e-05
19,1.7941225625691006e-05,1.8463826054357925e-05
20,1.698679824039573e-05,1.7043400293914602e-05
21,1.4617574459407478e-05,1.42258768028114e-05
22,1.3403986595221794e-05,1.3950025968370028e-05
23,1.244113220309373e-05,1.0897880711127073e-05
24,1.0779176962387282e-05,1.4845223922748119e-05
25,1.2989117134566185e-05,8.476617149426601e-06
26,9.759921071236022e-06,1.2658167324843817e-05
27,8.631054741272238e-06,7.429234246956185e-06
28,8.404699714446905e-06,8.92748783371644e-06
29,1.03716552403057e-05,1.8034802269539796e-05
30,1.388269759627292e-05,9.91502299439162e-05
31,3.272315534559311e-05,1.4164495514705777e-05
32,1.5453873624210245e-05,9.285027772421017e-06
33,1.8575932110252326e-05,2.66923954768572e-05
34,1.2766474530508276e-05,5.2253835019655525e-06
35,8.705270971404388e-06,6.410832502297126e-06
36,6.204982579220086e-05,6.556406820891425e-05
37,8.089176422799937e-05,0.00011869989044498653
38,3.564265924069332e-05,7.233764226839412e-06
39,7.953084990731441e-06,1.1857451136165765e-05
40,2.179865158541361e-05,5.21422860401799e-06
41,9.496081285760737e-06,1.473732860176824e-05
42,8.842089669633423e-05,0.00017258794512599706
43,8.879766603058669e-05,7.75393593357876e-06
44,5.660744638589677e-06,5.56183629669249e-06
45,3.052546567778336e-05,4.519232916209148e-06
46,0.0001276563556602923,0.00027781369630247354
47,0.0006484521209786181,0.0005962509987875819
48,7.420841998100514e-05,8.251923936768435e-06
49,7.437050528096733e-06,6.5926298339036295e-06
50,6.276734329730971e-06,5.3784216652275064e-06
51,5.54196402663365e-06,5.948764282948105e-06
52,5.339113209629431e-06,4.750188418256585e-06
53,5.905812908167718e-06,5.522193241631612e-06
54,5.292068162816577e-06,4.711971414508298e-06
55,5.27617985062534e-06,4.8787568994157486e-06
56,4.599520700139692e-06,5.4577796981902795e-06
57,5.4593668319284915e-06,6.612056786252652e-06
58,6.955289600227843e-06,5.508850881597027e-06
59,9.516378195257858e-06,4.216012588585727e-05
60,1.6125851099786814e-05,5.061619995103683e-06
