cycles_per_sample,power
0.0,0.0010410502091326211
0.0078125,0.0004222848584524146
0.015625,0.00040459776306016895
0.0234375,0.0036410496172986505
0.03125,0.035904571219259676
0.0390625,0.0443455538095113
0.046875,0.08398894997970263
0.0546875,0.3125662143365319
0.0625,0.5513833884183607
0.0703125,0.3837263964934166
0.078125,0.1268878904583696
0.0859375,0.07321457103254371
0.09375,0.2548239472903416
0.1015625,0.5130156962941648
0.109375,0.15530437988619947
0.1171875,0.07086856760253375
0.125,0.07684946814084302
0.1328125,0.09650016533415312
0.140625,0.07402166382233537
0.1484375,0.09490370722710689
0.15625,0.0635451368086819
0.1640625,0.07637438990681737
0.171875,0.06288502363809827
0.1796875,0.020970177006805115
0.1875,0.031669735416921675
0.1953125,0.03137940029416823
0.203125,0.06690861648183542
0.2109375,0.06631854384222367
0.21875,0.07657448681972859
0.2265625,0.07145826210738519
0.234375,0.07541879979587758
0.2421875,0.04409945221574857
0.25,0.05622331013922577
0.2578125,0.04633836270845312
0.265625,0.045447432576104035
0.2734375,0.05656399661747553
0.28125,0.04690005848982376
0.2890625,0.045467269246830505
0.296875,0.0307069543805436
0.3046875,0.02890669475133055
0.3125,0.04370255106537
0.3203125,0.030015731125954608
0.328125,0.013159606082169715
0.3359375,0.031725930020855504
0.34375,0.04561354960790038
0.3515625,0.026490737284132173
0.359375,0.019616525987673748
0.3671875,0.015784880151885183
0.375,0.010186824692895271
0.3828125,0.012857040103319367
0.390625,0.026823905693636598
0.3984375,0.03377162415737241
0.40625,0.02960242524468967
0.4140625,0.0178956670864048
0.421875,0.024355968439851525
0.4296875,0.0192448534217454
0.4375,0.006935726766805223
0.4453125,0.012169903071083956
0.453125,0.017155922110313526
0.4609375,0.010530347956320156
0.46875,0.011791167205706643
0.4765625,0.016072511699699026
0.484375,0.01616256415631001
0.4921875,0.011273757915941901
0.5,0.004203065814993916
