window,residual_std,residual_lag1_autocorr
9,0.10469113742387193,-0.09808509053658619
15,0.132178853145771,0.26619783303816114
21,0.16108455107700181,0.45603022435797225
31,0.16653262181422726,0.5095591478987436
41,0.18055198589716176,0.5688511454470901
51,0.18011293690253857,0.5783780372786891
71,0.1941680300840141,0.6313435196216832
101,0.19432550003333615,0.6339392315178622
