raw,reference,residual
0.02,-0.009846153846154015,0.029846153846154015
0.0,0.001196581196581054,-0.001196581196581054
0.0,0.008542177629134028,-0.008542177629134028
0.0,0.012723185027532745,-0.012723185027532745
0.0,0.01427215296780504,-0.01427215296780504
0.0,0.013721631025978755,-0.013721631025978755
0.0,0.011604168778081729,-0.011604168778081729
0.0,0.008452315800141785,-0.008452315800141785
0.0,0.004798621668186762,-0.004798621668186762
0.0,0.0011756359582445197,-0.0011756359582445197
0.0,-0.0018840917536571203,0.0018840917536571203
0.01,-0.003848011891490302,0.013848011891490302
0.06,-0.004183574879227244,0.06418357487922724
0.02,-0.008883091787439906,0.028883091787439905
0.0,0.0017661835748788678,-0.0017661835748788678
0.0,0.01743768115941989,-0.01743768115941989
0.0,0.03676714975845365,-0.03676714975845365
0.04,0.06270724637681109,-0.02270724637681109
0.04,0.09191111111111057,-0.05191111111111057
0.06,0.12684830917874337,-0.06684830917874338
0.14,0.16617198067632788,-0.026171980676327866
0.18,0.20790144927536172,-0.027901449275361728
0.15,0.2418415458937191,-0.0918415458937191
0.2,0.27487149758454027,-0.07487149758454026
0.38,0.3077468599033808,0.0722531400966192
0.56,0.3439033816425111,0.21609661835748895
0.43,0.3759246376811584,0.05407536231884158
0.45,0.3992193236714966,0.050780676328503416
0.49,0.42042125603864633,0.06957874396135366
0.47,0.43761545893719694,0.03238454106280303
0.49,0.4546782608695641,0.0353217391304359
0.45,0.46849468599033695,-0.018494685990336934
0.4,0.4759439613526558,-0.0759439613526558
0.35,0.4881932367149747,-0.13819323671497474
0.47,0.49764057971014375,-0.027640579710143776
0.49,0.49618937198067536,-0.006189371980675373
0.5,0.498384541062801,0.0016154589371989991
0.49,0.5103980676328495,-0.02039806763284946
0.5,0.521360386473429,-0.02136038647342897
0.6,0.5331091787439601,0.06689082125603985
0.61,0.5567439613526558,0.053256038647344184
0.64,0.5888502415458923,0.05114975845410774
0.64,0.6260714975845396,0.013928502415460398
0.64,0.6669816425120757,-0.026981642512075688
0.71,0.7054743961352642,0.004525603864735772
0.66,0.7369140096618341,-0.07691400966183404
0.7,0.7741024154589355,-0.07410241545893559
0.82,0.8177391304347806,0.0022608695652193145
0.78,0.8513333333333315,-0.07133333333333147
0.79,0.887199999999998,-0.09719999999999795
1.1,0.9270434782608677,0.17295652173913234
1.13,0.9749468599033796,0.1550531400966203
1.08,1.026328502415457,0.05367149758454315
1.09,1.0758531400966158,0.014146859903384268
1.08,1.1255169082125578,-0.045516908212557716
1.12,1.1878647342995143,-0.06786473429951423
1.2,1.2540154589371955,-0.054015458937195504
1.35,1.324452173913041,0.025547826086959047
1.25,1.3695884057970988,-0.11958840579709884
1.28,1.4075478260869534,-0.12754782608695336
1.54,1.4688347826086925,0.07116521739130754
1.63,1.5314956521739103,0.09850434782608963
1.66,1.5858879227053113,0.0741120772946886
1.6,1.6439362318840547,-0.0439362318840546
1.7,1.7045681159420256,-0.004568115942025663
1.83,1.7623671497584505,0.06763285024154952
1.97,1.8195922705313974,0.1504077294686026
1.84,1.8731555555555526,-0.033155555555552496
1.78,1.9248463768115909,-0.14484637681159085
1.74,1.9765835748792235,-0.23658357487922355
2.1,2.0200115942028956,0.07998840579710453
2.32,2.0271227053140057,0.2928772946859941
2.1,2.049714009661832,0.05028599033816805
1.99,2.0944386473429915,-0.10443864734299146
2.03,2.1388908212560347,-0.10889082125603489
2.25,2.176465700483088,0.07353429951691215
2.29,2.210718840579706,0.07928115942029423
2.31,2.2449487922705273,0.0650512077294727
2.31,2.2976367149758405,0.01236328502415951
2.3,2.3510338164251166,-0.05103381642511673
2.27,2.4083227053140046,-0.1383227053140046
2.22,2.4754570048309126,-0.2554570048309124
2.42,2.5324657004830877,-0.1124657004830878
2.95,2.616827053140092,0.33317294685990806
2.76,2.7161429951690774,0.043857004830922364
2.64,2.8059864734299476,-0.16598647342994743
